DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA_NAME,Rpt_Dist_No,Part_1_2,Crm_Cd,Crm_Cd_Desc,Mocodes,Vict_Age,Vict_Sex,Vict_Descent,Premis_Cd,Premis_Desc,Weapon_Used_Cd,Weapon_Desc,Status,Status_Desc,Crm_Cd_1,Crm_Cd_2,Crm_Cd_3,Crm_Cd_4,LOCATION,Cross_Street,LAT,LON
100100564,01/30/2010 12:00:00 AM,01/29/2010 12:00:00 AM,1630,01,Central,0139,1,330,BURGLARY FROM VEHICLE,0344 1609,25,F,W,101,STREET,,,IC,Invest Cont,330,,,,800    TRACTION                     AV,,34.0454,-118.236
100100570,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,0130,01,Central,0139,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,31,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,600 E  2ND                          ST,,34.0472,-118.2371
100100571,01/31/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1000,01,Central,0192,2,624,BATTERY - SIMPLE ASSAULT,0400,36,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1400 S  HOPE                         ST,,34.0382,-118.2665
100100572,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1700,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416,61,F,B,102,SIDEWALK,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,,,600 S  SAN PEDRO                    ST,,34.0423,-118.2452
100100573,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,2200,01,Central,0153,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,200 W  6TH                          ST,,34.046,-118.2509
100100574,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1930,01,Central,0145,2,624,BATTERY - SIMPLE ASSAULT,0416,40,M,W,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,5TH,LOS ANGELES,34.0461,-118.2476
100100575,02/01/2010 12:00:00 AM,01/31/2010 12:00:00 AM,1720,01,Central,0181,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1402,36,M,W,710,OTHER PREMISE,,,AA,Adult Arrest,341,,,,1100 S  FIGUEROA                     ST,,34.0437,-118.2652
100100578,02/05/2010 12:00:00 AM,02/03/2010 12:00:00 AM,1255,01,Central,0185,2,946,OTHER MISCELLANEOUS CRIME,,27,M,H,710,OTHER PREMISE,,,IC,Invest Cont,946,999,,,1200    MAPLE                        AV,,34.0357,-118.2563
100100580,02/02/2010 12:00:00 AM,02/01/2010 12:00:00 AM,1355,01,Central,0158,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0521,48,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,,,6TH,CERES,34.0394,-118.2405
100100581,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,1425,01,Central,0147,2,624,BATTERY - SIMPLE ASSAULT,0400 0417,32,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624,,,,SAN JULIAN                   ST,5TH                          ST,34.0446,-118.245
100100586,02/06/2010 12:00:00 AM,02/06/2010 12:00:00 AM,0110,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,36,F,H,207,BAR/COCKTAIL/NIGHTCLUB,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100587,02/05/2010 12:00:00 AM,02/05/2010 12:00:00 AM,2030,01,Central,0174,2,624,BATTERY - SIMPLE ASSAULT,0400 0416,45,F,B,503,HOTEL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,700 S  MAIN                         ST,,34.0439,-118.2514
100100591,02/10/2010 12:00:00 AM,02/08/2010 12:00:00 AM,1625,01,Central,0182,1,330,BURGLARY FROM VEHICLE,0344 1609,22,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,1200 S  FLOWER                       ST,,34.0415,-118.2654
100100592,02/08/2010 12:00:00 AM,02/08/2010 12:00:00 AM,1800,01,Central,0162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,440,,,,700 W  7TH                          ST,,34.048,-118.2577
100100608,02/11/2010 12:00:00 AM,02/10/2010 12:00:00 AM,1900,01,Central,0152,1,220,ATTEMPTED ROBBERY,0416,27,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,220,,,,6TH                          ST,FLOWER,34.0502,-118.2574
100100610,02/11/2010 12:00:00 AM,02/10/2010 12:00:00 AM,1800,01,Central,0162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1402,23,M,B,404,DEPARTMENT STORE,,,AA,Adult Arrest,442,998,,,700 W  7TH                          ST,,34.048,-118.2577
100100616,02/11/2010 12:00:00 AM,02/11/2010 12:00:00 AM,1515,01,Central,0192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1212,0,M,H,102,SIDEWALK,,,AA,Adult Arrest,341,,,,PICO,GRAND,34.0389,-118.2643
100100622,02/13/2010 12:00:00 AM,02/13/2010 12:00:00 AM,0055,01,Central,0171,2,624,BATTERY - SIMPLE ASSAULT,0416,24,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
100100623,02/13/2010 12:00:00 AM,02/13/2010 12:00:00 AM,0150,01,Central,0119,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,F,W,210,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,745,,,,700 E  CESAR E CHAVEZ               AV,,34.0559,-118.2296
100100628,02/15/2010 12:00:00 AM,02/14/2010 12:00:00 AM,1500,01,Central,0158,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408,40,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230,,,,500    STANFORD                     AV,,34.0426,-118.2412
100100630,02/15/2010 12:00:00 AM,02/15/2010 12:00:00 AM,0100,01,Central,0123,1,210,ROBBERY,0400,22,F,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,1ST                          ST,HILL                         ST,34.0544,-118.2466
100100632,02/16/2010 12:00:00 AM,02/16/2010 12:00:00 AM,1540,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,22,F,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,500 E  4TH                          ST,,34.0449,-118.2415
100100633,02/17/2010 12:00:00 AM,02/17/2010 12:00:00 AM,1725,01,Central,0153,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,35,M,H,406,OTHER STORE,,,IC,Invest Cont,745,,,,500 S  BROADWAY,,34.0481,-118.2507
100100634,02/20/2010 12:00:00 AM,02/19/2010 12:00:00 AM,2040,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,44,M,O,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,700 S  HOPE                         ST,,34.048,-118.2577
100100635,02/20/2010 12:00:00 AM,02/19/2010 12:00:00 AM,2030,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0400,50,M,O,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,700 S  HOPE                         ST,,34.048,-118.2577
100100638,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,0100,01,Central,0164,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,101,STREET,,,AA,Adult Arrest,740,,,,100 W  7TH                          ST,,34.0439,-118.2514
100100639,02/20/2010 12:00:00 AM,02/20/2010 12:00:00 AM,0230,01,Central,0164,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,600 S  MAIN                         ST,,34.0453,-118.2499
100100642,02/21/2010 12:00:00 AM,02/21/2010 12:00:00 AM,0500,01,Central,0174,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0408,35,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,626,,,,800 S  SPRING                       ST,,34.0431,-118.2536
100100650,02/25/2010 12:00:00 AM,02/25/2010 12:00:00 AM,0030,01,Central,0111,1,310,BURGLARY,0344 1251,20,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
100100651,02/26/2010 12:00:00 AM,02/25/2010 12:00:00 AM,2330,01,Central,0176,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 0429,23,F,H,108,PARKING LOT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236,,,,600 E  8TH                          ST,,34.0394,-118.2496
100100654,02/27/2010 12:00:00 AM,02/27/2010 12:00:00 AM,1955,01,Central,0174,2,946,OTHER MISCELLANEOUS CRIME,,0,M,W,101,STREET,,,AA,Adult Arrest,946,,,,W  7TH                          ST,S  SPRING                       ST,34.0445,-118.2523
100100655,02/28/2010 12:00:00 AM,02/28/2010 12:00:00 AM,0015,01,Central,0133,2,624,BATTERY - SIMPLE ASSAULT,0416,20,M,H,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 W  2ND                          ST,,34.0524,-118.2467
100100657,03/01/2010 12:00:00 AM,02/28/2010 12:00:00 AM,2200,01,Central,0192,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 2000,25,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,1300 S  GRAND                        AV,,34.0389,-118.2643
100100658,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,0305,01,Central,0162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,40,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,800 S  GRAND                        AV,,34.0459,-118.2579
100114820,08/01/2010 12:00:00 AM,08/01/2010 12:00:00 AM,0250,01,Central,0192,1,210,ROBBERY,0344 0355 0400,33,M,H,101,STREET,113,SIMULATED GUN,IC,Invest Cont,210,,,,GRAND,PICO,34.0384,-118.2646
100100659,02/28/2010 12:00:00 AM,02/28/2010 12:00:00 AM,1825,01,Central,0138,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0200 0400,44,F,W,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,626,,,,300 S  LOS ANGELES                  ST,,34.0485,-118.2447
100100660,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,0100,01,Central,0148,1,648,ARSON,1501,0,M,O,101,STREET,,,IC,Invest Cont,648,,,,5TH,SAN PEDRO                    ST,34.0435,-118.2427
100100661,03/01/2010 12:00:00 AM,03/01/2010 12:00:00 AM,0410,01,Central,0143,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,400 S  HILL                         ST,,34.0503,-118.2504
100100672,03/06/2010 12:00:00 AM,03/06/2010 12:00:00 AM,0420,01,Central,0142,1,121,"RAPE, FORCIBLE",0413 0500 0536 0526,28,F,H,503,HOTEL,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
100100676,03/07/2010 12:00:00 AM,03/06/2010 12:00:00 AM,1930,01,Central,0105,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,44,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,745,,,,1300 N  BROADWAY,,34.0695,-118.2324
100100690,03/11/2010 12:00:00 AM,03/11/2010 12:00:00 AM,2300,01,Central,0182,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,26,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,745,,,,1100 S  GRAND                        AV,,34.0416,-118.262
100100691,03/11/2010 12:00:00 AM,03/11/2010 12:00:00 AM,2110,01,Central,0165,2,624,BATTERY - SIMPLE ASSAULT,0416 1402,40,F,W,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,998,,,600 S  LOS ANGELES                  ST,,34.0446,-118.249
100100693,03/12/2010 12:00:00 AM,03/11/2010 12:00:00 AM,0815,01,Central,0123,2,624,BATTERY - SIMPLE ASSAULT,0416 0417,52,F,H,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,1ST,SPRING,34.053,-118.2444
100100694,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,0930,01,Central,0166,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0411 0417 1402,62,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,230,,,,600    WALL                         ST,,34.0435,-118.2471
100100697,03/12/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1520,01,Central,0151,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,X,101,STREET,,,AA,Adult Arrest,341,998,,,7TH,FIGUEROA,34.0499,-118.2614
100100706,03/13/2010 12:00:00 AM,03/13/2010 12:00:00 AM,1615,01,Central,0153,2,624,BATTERY - SIMPLE ASSAULT,0400 2000,39,F,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,7TH                          ST,BROADWAY,34.0452,-118.2534
100100708,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,0800,01,Central,0166,1,220,ATTEMPTED ROBBERY,0337 0400 0411 0432 0906,50,M,B,102,SIDEWALK,204,FOLDING KNIFE,IC,Invest Cont,220,,,,SAN PEDRO                    ST,7TH                          ST,34.0407,-118.2468
100100711,03/14/2010 12:00:00 AM,03/12/2010 12:00:00 AM,1700,01,Central,0152,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,54,M,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511,VERBAL THREAT,IC,Invest Cont,930,,,,600 W  5TH                          ST,,34.0502,-118.254
100100713,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2000,01,Central,0156,1,761,BRANDISH WEAPON,0334,76,M,H,710,OTHER PREMISE,207,OTHER KNIFE,IC,Invest Cont,761,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
100100714,03/15/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2050,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,0416,16,F,H,406,OTHER STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,600 W  9TH                          ST,,34.0451,-118.2604
100100715,03/15/2010 12:00:00 AM,03/15/2010 12:00:00 AM,0001,01,Central,0176,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000,21,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,700 S  SAN PEDRO                    ST,,34.0407,-118.2468
100100716,03/14/2010 12:00:00 AM,03/14/2010 12:00:00 AM,2305,01,Central,0159,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,22,M,H,102,SIDEWALK,,,AA,Adult Arrest,745,,,,6TH                          ST,SANTA FE                     AV,34.0384,-118.2305
100100719,03/16/2010 12:00:00 AM,03/16/2010 12:00:00 AM,1650,01,Central,0156,2,624,BATTERY - SIMPLE ASSAULT,0416,57,F,B,503,HOTEL,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,5TH                          ST,SAN JULIAN,34.0446,-118.245
100100723,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,0250,01,Central,0165,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1217,18,F,H,211,PAWN SHOP,,,IC,Invest Cont,745,,,,300 E  7TH                          ST,,34.0424,-118.2493
100100724,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,34,M,W,210,RESTAURANT/FAST FOOD,512,MACE/PEPPER SPRAY,AA,Adult Arrest,230,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100100725,03/18/2010 12:00:00 AM,03/18/2010 12:00:00 AM,0015,01,Central,0145,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400,27,F,W,210,RESTAURANT/FAST FOOD,512,MACE/PEPPER SPRAY,AA,Adult Arrest,230,,,,400 S  MAIN                         ST,,34.0482,-118.2472
100100726,03/19/2010 12:00:00 AM,03/19/2010 12:00:00 AM,1000,13,Newton,1307,2,624,BATTERY - SIMPLE ASSAULT,0416 0429 0917 1804,32,F,H,203,OTHER BUSINESS,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,800 E  8TH                          ST,,34.0371,-118.2475
100100728,03/19/2010 12:00:00 AM,03/19/2010 12:00:00 AM,1140,01,Central,0147,1,210,ROBBERY,0305 0344 0416,33,M,W,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,5TH,WALL,34.0446,-118.245
100100730,03/23/2010 12:00:00 AM,03/20/2010 12:00:00 AM,1215,01,Central,0111,2,647,THROWING OBJECT AT MOVING VEHICLE,,26,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,647,,,,CESAR E CHAVEZ,FIGUEROA                     ST,34.0627,-118.2463
100100731,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,0320,01,Central,0111,1,330,BURGLARY FROM VEHICLE,0344 0906 1402 1609,48,M,O,101,STREET,,,AA,Adult Arrest,330,998,,,BARTLETT,FIGUEROA,34.0635,-118.2458
100100733,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,1000,11,Northeast,1171,2,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,102,SIDEWALK,,,IC,Invest Cont,946,998,,,WAVERLY,SUNSET                       BL,34.0917,-118.2741
100100734,03/21/2010 12:00:00 AM,03/21/2010 12:00:00 AM,1315,01,Central,0163,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 1202,65,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,700 S  BROADWAY,,34.0452,-118.2534
100100736,03/22/2010 12:00:00 AM,03/22/2010 12:00:00 AM,1330,01,Central,0162,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344 0601 1402 1606,23,M,B,404,DEPARTMENT STORE,,,IC,Invest Cont,343,998,,,700 W  7TH                          ST,,34.048,-118.2577
